Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActiveMinutes,SedentaryRatio
1844505072,2016-04-23,3570,2.35999989509583,2.35999989509583,0,0,0,2.35999989509583,0,0,0,139,1301,1645,139,0.9034722222222222
6117666160,2016-04-07,4853,3.66000008583069,3.66000008583069,0,0,0,3.66000008583069,0,0,0,156,770,1903,156,0.8315334773218143
7007744171,2016-04-20,15566,11.3100004196167,10.4099998474121,4.92484092712402,4.78999996185303,0.670000016689301,5.8600001335144,0,60,33,347,1000,3096,440,0.6944444444444444
6290855005,2016-04-27,5565,4.21000003814697,4.21000003814697,0,0,0,4.17999982833862,0.0299999993294477,0,0,287,1153,2743,287,0.8006944444444445
8053475328,2016-05-08,22026,17.6499996185303,17.6499996185303,0,13.3999996185303,0.589999973773956,3.66000008583069,0,125,14,228,1073,3589,367,0.7451388888888889
7007744171,2016-04-13,12862,9.64999961853027,8.60000038146973,4.8513069152832,4.6100001335144,0.560000002384186,4.48000001907349,0,56,22,261,1101,2742,339,0.7645833333333333
2022484408,2016-05-04,11768,8.28999996185303,8.28999996185303,0,2.50999999046326,0.930000007152557,4.84999990463257,0,36,27,272,1105,2649,335,0.7673611111111112
1844505072,2016-04-01,6847,4.53000020980835,4.53000020980835,0,0.610000014305115,0.370000004768372,3.54999995231628,0,9,9,251,1171,1969,269,0.8131944444444444
6962181067,2016-04-26,10433,6.90000009536743,6.90000009536743,0,2.57999992370605,0.419999986886978,3.90000009536743,0,36,7,254,680,2012,297,0.6960081883316275
8583815059,2016-05-02,8469,6.6100001335144,6.6100001335144,0,0,0,0,0,0,0,0,1440,2894,0,1
1624580081,2016-03-29,1552,1.00999999046326,1.00999999046326,0,0,0,1,0,0,0,66,1374,1300,66,0.9541666666666668
6962181067,2016-04-02,12437,8.30000019073486,8.30000019073486,0,3.75999999046326,1.28999996185303,3.24000000953674,0,50,24,219,732,2115,293,0.7141463414634146
3977333714,2016-04-12,759,0.569999992847443,0.569999992847443,0,0,0,0.569999992847443,0,0,0,17,187,182,17,0.9166666666666666
2022484408,2016-04-22,12954,9.32999992370605,9.32999992370605,0,4.42999982833862,0.419999986886978,4.46999979019165,0,52,10,273,1105,2638,335,0.7673611111111112
8253242879,2016-04-09,5360,3.53999996185303,3.53999996185303,0,0.540000021457672,1.54999995231628,1.46000003814697,0,8,28,148,1256,1832,184,0.8722222222222222
4388161847,2016-05-11,10201,7.84000015258789,7.84000015258789,0,0.529999971389771,0.790000021457672,6.53000020980835,0,8,18,256,858,2954,282,0.7526315789473684
8583815059,2016-04-26,10499,8.1899995803833,8.1899995803833,0,0.0700000002980232,4.21999979019165,3.89000010490417,0,1,91,214,1134,3093,306,0.7875
1927972279,2016-05-02,3790,2.61999988555908,2.61999988555908,0,1.1599999666214,0.300000011920929,1.1599999666214,0,16,8,94,1322,2505,118,0.9180555555555556
8583815059,2016-04-12,5014,3.91000008583069,3.91000008583069,0,0,0.330000013113022,3.57999992370605,0,0,7,196,1237,2650,203,0.8590277777777777
4558609924,2016-04-12,5135,3.39000010490417,3.39000010490417,0,0,0,3.39000010490417,0,0,0,318,1122,1909,318,0.7791666666666667
